test_example_id,predicted_category
0,m
1,m
2,f
3,m
4,f
5,f
6,m
7,f
8,f
9,m
10,m
11,m
12,m
13,f
14,f
15,f
16,m
17,f
18,m
19,m
20,m
21,m
22,f
23,f
24,f
25,m
26,m
27,m
28,m
29,m
30,m
31,f
32,m
33,f
34,m
35,f
36,m
37,f
38,m
39,m
40,f
41,m
42,m
43,m
44,m
45,m
46,m
47,m
48,f
49,m
50,m
51,m
52,f
53,f
54,m
55,m
56,m
57,f
58,m
59,m
60,m
61,m
62,f
63,m
64,m
65,m
66,m
67,m
68,f
69,m
70,m
71,m
72,f
73,m
74,m
75,m
76,m
77,m
78,m
79,m
80,m
81,m
82,m
83,f
84,f
85,m
86,m
87,f
88,f
89,f
90,m
91,f
92,m
93,f
94,f
95,f
96,m
97,m
98,m
99,f
100,m
101,f
102,m
103,f
104,m
105,f
106,f
107,f
108,m
109,m
110,f
111,m
112,m
113,m
114,m
115,m
116,m
117,m
118,m
119,m
120,m
121,m
122,m
123,m
124,f
125,m
126,f
127,f
128,f
129,m
130,m
131,m
132,f
133,m
134,m
135,f
136,m
137,m
138,m
139,f
140,m
141,m
142,m
143,m
144,m
145,m
146,f
147,f
148,m
149,f
150,m
151,f
152,m
153,f
154,m
155,m
156,m
157,m
158,m
159,m
160,m
161,m
162,f
163,f
164,m
165,f
166,f
167,m
168,m
169,m
170,m
171,m
172,m
173,m
174,m
175,m
176,m
177,f
178,m
179,f
180,m
181,f
182,m
183,m
184,f
185,m
186,m
187,f
188,f
189,m
190,f
191,m
192,f
193,m
194,m
195,f
196,f
197,m
198,f
199,f
200,f
201,m
202,m
203,m
204,m
205,m
206,m
207,m
208,f
209,f
210,m
211,m
212,m
213,f
214,m
215,m
216,m
217,m
218,m
219,m
220,f
221,m
222,m
223,m
224,m
225,m
226,m
227,m
228,m
229,f
230,f
231,m
232,f
233,f
234,m
235,m
236,f
237,m
238,m
239,m
240,f
241,m
242,m
243,f
244,m
245,m
246,m
247,m
248,f
249,m
250,m
251,f
252,f
253,m
254,m
255,m
256,m
257,f
258,f
259,m
260,m
261,m
262,m
263,m
264,m
265,m
266,f
267,m
268,f
269,m
270,m
271,m
272,m
273,m
274,m
275,m
276,f
277,m
278,f
279,m
280,f
281,m
282,m
283,f
284,m
285,m
286,m
287,f
288,m
289,f
290,m
291,m
292,f
293,m
294,m
295,f
296,m
297,m
298,m
299,m
300,f
301,m
302,m
303,m
304,m
305,m
306,m
307,f
308,m
309,f
310,f
311,f
312,m
313,f
314,m
315,m
316,m
317,m
318,m
319,f
320,m
321,m
322,f
